Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
90,72,0,0,0
89,66,0.38,0,0
78,65,0.02,0,0
76,57,0,0,0
86,61,0,0,0
88,68,0,0,0
80,64,0.01,0,0
79,60,0.1,0,0
79,56,0,0,0
79,54,0,0,0
68,61,T,0,0
83,57,0,0,0
78,59,T,0,0
83,64,0.73,0,0
71,56,0,0,0
74,50,0,0,0
78,56,0.02,0,0
77,57,0,0,0
79,51,0,0,0
80,56,0,0,0
79,58,0.04,0,0
86,70,0.01,0,0
89,66,0,0,0
76,66,0.06,0,0
86,67,0.01,0,0
87,61,0,0,0
84,66,0,0,0
93,69,0,0,0
92,72,0,0,0
86,63,0,0,0
86,65,0,0,0
88,62,0,0,0
92,70,0,0,0
92,68,0,0,0
84,61,0.02,0,0
81,57,T,0,0
72,55,T,0,0
79,50,0,0,0
75,52,0,0,0
83,54,0,0,0
95,63,0,0,0
78,56,0.09,0,0
75,53,0,0,0
76,50,0,0,0
85,52,0,0,0
80,61,0,0,0
64,47,0.19,0,0
61,43,0,0,0
76,52,T,0,0
66,50,0,0,0
63,40,T,0,0
60,39,T,0,0
61,36,0,0,0
77,40,0,0,0
68,45,0,0,0
65,40,0,0,0
69,41,0,0,0
76,46,0,0,0
82,51,0,0,0
77,48,0,0,0
72,53,0,0,0
72,44,0,0,0
78,48,0,0,0
64,42,0,0,0
48,36,0,0,0
45,33,0,0,0
53,28,0,0,0
64,39,T,0,0
50,36,0.03,0,0
55,32,0,0,0
55,33,T,0,0
53,28,0,0,0
53,47,0.04,0,0
59,45,0,0,0
61,38,T,0,0
65,52,T,0,0
62,47,T,0,0
50,43,0.01,0,0
52,38,0.21,0,0
54,34,0,0,0
71,42,0,0,0
64,50,T,0,0
65,55,0.08,0,0
60,47,0.18,0,0
47,35,0.75,T,0
39,32,0,0,0
43,28,0,0,0
46,29,0,0,0
45,31,0,0,0
50,28,0,0,0
52,25,0,0,0
47,31,0,0,0
39,27,0,0,0
43,37,0,0,0
45,30,0.01,0,0
45,38,T,0,0
44,38,0.31,0,0
47,38,0,0,0
54,34,0,0,0
55,35,0,0,0
69,44,0.24,0,0
56,22,0.02,T,0
27,19,0.01,0.2,0
43,18,0,0,T
51,34,0,0,0
53,29,T,0,0
44,23,0,0,0
54,32,0,0,0
57,43,0,0,0
59,38,T,0,0
54,33,0,0,0
62,38,0,0,0
60,24,0.02,0.1,0
27,14,0.02,0.5,1
30,11,T,T,T
30,23,0,0,T
23,10,0,0,T
39,16,0,0,T
36,25,0,0,0
40,23,0,0,0
36,31,0,0,0
48,34,0,0,0
40,29,0,0,0
55,37,0.02,0,0
45,21,0,0,0
40,19,0,0,0
46,27,T,0,0
32,24,0.05,0.8,0
33,25,0,0,1
32,20,0.95,10.5,2
20,2,T,0.1,9
20,4,T,0.1,8
43,12,0,0,8
40,24,0,0,6
39,20,0,0,6
39,33,0.42,0.1,4
34,20,T,T,1
25,20,T,T,1
29,23,T,T,1
32,27,0.02,0.2,1
28,13,0.02,0.5,1
21,9,0,0,1
29,9,0,0,1
19,10,0,0,1
18,6,0.01,0.5,1
13,0,0,0,1
19,5,0,0,1
21,8,0.09,1,1
26,13,0.06,1.2,3
19,5,T,T,3
25,1,0,0,3
18,1,T,T,3
20,-5,T,T,3
21,14,0.01,0.4,3
22,11,T,0.6,3
30,16,0,0,3
26,10,0,0,3
24,10,0,0,3
36,15,0,0,3
35,16,0,0,3
35,25,0,0,3
39,24,0.28,0,2
41,34,0.02,0,1
39,5,T,T,0
9,2,T,T,0
14,5,0,0,T
30,10,0,0,T
36,14,0.02,0.3,T
20,6,T,T,T
41,17,0.01,0.1,T
39,2,0,0,T
9,-2,T,T,0
-2,-10,T,T,T
5,-12,0,0,T
17,-5,T,0.2,T
13,-6,T,T,T
21,4,T,T,T
23,2,0,0,0
33,21,0.49,3,0
33,30,T,0,3
33,25,0.03,0,2
26,6,T,T,2
7,-10,T,T,2
4,-13,0.06,2,2
9,0,0.03,0.7,4
13,3,0.04,0.9,4
14,3,0.06,1.2,5
27,8,0.05,1.2,6
23,3,0.04,0.7,5
25,18,T,0,5
23,16,0,0,5
29,22,0,0,5
35,25,0.62,2.2,5
32,19,T,0.1,6
36,16,0,0,6
39,20,0.09,0.5,6
34,15,0.09,1.1,7
18,6,0,0,7
20,2,T,T,7
32,9,0,0,7
34,9,0.01,0.3,6
10,0,T,T,6
19,-3,0,0,5
23,7,0,0,5
29,20,0.24,4.2,7
29,20,0,0,9
34,12,0,0,8
37,23,0,0,7
36,17,0,0,6
38,29,0,0,6
31,25,0,0,6
31,19,0,0,6
32,10,0,0,6
32,18,0,0,6
29,23,0.34,3.9,5
30,22,0.41,5.4,11
29,17,0,0,13
31,11,0,0,11
39,19,0,0,11
38,33,0.61,0,8
36,31,0.01,T,6
31,23,0,0,6
29,20,T,T,6
33,14,0,0,6
40,24,0.06,0.6,6
35,24,0.19,0.8,5
27,14,0,0,6
29,9,0,0,6
30,11,0.23,3.1,8
23,7,0,0,8
21,5,0,0,8
29,7,0,0,8
37,13,0,0,7
39,20,0,0,6
33,29,0,0,6
38,24,0,0,6
39,27,0,0,5
43,23,0,0,4
44,25,0,0,4
49,32,T,0,2
56,36,0.19,0,T
42,24,0,0,T
36,19,0,0,T
38,19,0,0,0
48,23,0,0,0
53,33,0,0,0
44,28,0.07,T,0
55,37,0.09,0,0
48,35,0.19,0,0
48,40,0.52,0,0
44,31,0.48,0.7,0
40,30,0.09,0.7,1
36,31,0.76,4.4,1
36,28,0.06,0.6,4
36,29,0.01,0.2,4
38,30,0.46,0.2,3
40,33,0,0,2
47,33,0,0,1
42,35,0.26,T,0
35,32,1.02,6.4,0
38,26,0.12,0.9,7
42,21,0,0,5
51,34,0.15,T,3
44,33,0.82,3.5,0
42,29,0.02,0.3,3
51,29,T,0,T
51,33,T,T,0
72,45,0.02,0,0
75,43,0,0,0
81,54,0.08,0,0
75,51,0,0,0
72,56,0,0,0
56,35,0.35,T,0
48,35,T,T,0
38,32,0.2,0.5,0
49,34,0.08,T,0
67,39,0,0,0
76,46,0,0,0
78,53,0,0,0
78,58,0.12,0,0
60,43,0.1,0,0
67,37,T,0,0
57,42,T,0,0
59,34,0,0,0
72,41,0.01,0,0
98,54,0,0,0
79,56,0,0,0
83,58,T,0,0
66,57,0.25,0,0
81,56,1.47,0,0
82,64,1.16,0,0
72,60,0.6,0,0
65,49,0.07,0,0
55,47,0.13,0,0
65,45,0,0,0
68,44,0.16,0,0
62,54,T,0,0
60,54,0,0,0
62,55,0.05,0,0
62,54,0.06,0,0
76,55,0.92,0,0
77,65,0.26,0,0
79,63,0.25,0,0
72,52,0.06,0,0
67,50,0,0,0
71,51,T,0,0
64,57,0.02,0,0
60,54,0.15,0,0
58,51,T,0,0
66,54,0,0,0
72,56,0,0,0
69,58,0.54,0,0
77,59,0,0,0
79,60,T,0,0
76,62,0.59,0,0
79,58,0,0,0
79,60,0.01,0,0
76,65,0.02,0,0
86,60,0.01,0,0
82,62,0,0,0
75,57,0,0,0
85,61,0,0,0
91,70,0,0,0
82,64,2.5,T,0
82,66,0.54,0,0
84,70,0.26,0,0
82,66,T,0,0
84,66,0,0,0
89,73,T,0,0
87,72,0,0,0
79,67,0.09,0,0
77,63,0.38,0,0
82,57,0,0,0
85,63,0,0,0
83,61,0,0,0
84,61,0,0,0
90,66,0,0,0
89,72,0,0,0
92,76,T,0,0
91,73,0.03,0,0
89,67,0,0,0
87,71,0.34,0,0
83,63,0,0,0
86,64,0,0,0
90,68,0,0,0
80,65,2.79,0,0
86,71,0,0,0
89,70,0,0,0
92,76,0,0,0
94,78,0,0,0
94,80,0,0,0
86,72,T,0,0
82,66,T,0,0
81,59,0.29,0,0
88,67,T,0,0
77,63,0,0,0
78,61,T,0,0
83,64,0.03,0,0
72,56,0.01,0,0
64,53,0.02,0,0
75,53,0,0,0
79,56,T,0,0
72,65,T,0,0
83,63,T,0,0
83,59,0,0,0
79,61,0,0,0
80,58,0,0,0
76,56,0,0,0
81,61,0.65,0,0
86,59,1.33,T,0
77,62,0,0,0
75,58,0,0,0
76,60,0,0,0
77,62,0,0,0
80,65,0,0,0
80,63,0,0,0
76,57,0,0,0
78,58,0,0,0
79,59,0,0,0
80,61,0,0,0
82,60,0,0,0
83,62,0,0,0
88,69,0,0,0
90,71,0,0,0
88,74,T,0,0
87,68,0,0,0
88,64,0,0,0
90,71,0,0,0
96,80,0,0,0
97,80,0,0,0
96,79,0,0,0
92,73,0,0,0
95,75,0.03,0,0
85,72,0,0,0
89,66,0.06,0,0
75,61,0,0,0
68,55,0,0,0
78,53,0,0,0
88,62,0,0,0
82,64,0,0,0
92,70,T,0,0
94,71,0,0,0
77,67,T,0,0
94,70,T,0,0
81,70,0.02,0,0
86,66,0,0,0
76,57,0,0,0
70,49,0,0,0
73,51,0.47,0,0
67,50,0.33,0,0
67,44,0,0,0
67,48,0.03,0,0
75,60,0.14,0,0
78,64,0.18,0,0
66,51,0.04,0,0
64,47,0,0,0
74,49,0,0,0
74,53,0,0,0
76,53,0,0,0
74,54,0,0,0
82,56,0,0,0
86,65,T,0,0
72,51,0.14,0,0
77,48,0,0,0
80,58,0,0,0
77,53,0,0,0
77,48,0.9,0,0
61,55,0.03,0,0
59,55,0.29,0,0
61,46,0.01,0,0
55,42,0.05,0,0
67,43,0,0,0
77,50,0,0,0
76,56,0,0,0
78,52,0,0,0
75,57,0.04,0,0
58,46,T,0,0
61,39,0,0,0
55,42,0.56,0,0
55,46,0.62,0,0
55,42,0.01,0,0
59,41,0.17,0,0
53,38,0.02,0,0
49,34,0.06,T,0
47,33,0.08,0,0
40,29,T,T,0
40,26,T,T,0
39,33,0,0,0
44,33,0,0,0
58,28,0,0,0
50,36,0,0,0
58,31,0,0,0
44,31,0,0,0
42,32,0.03,0,0
50,40,0.13,0,0
50,40,T,0,0
52,38,0,0,0
50,34,0,0,0
55,35,0,0,0
49,36,0.17,0,0
45,30,0.18,0.7,0
40,30,0.05,0.4,T
36,28,0,0,0
47,24,T,0,0
46,36,T,0,0
42,33,0,0,0
39,16,T,T,0
28,12,0,0,0
50,23,0,0,0
52,35,0,0,0
56,32,0,0,0
50,41,0.11,0,0
46,32,0,0,0
36,25,0,0,0
47,23,0,0,0
45,37,0,0,0
39,25,0.01,T,0
33,13,0,0,T
19,7,0,0,T
31,8,0,0,T
40,28,T,T,0
31,15,T,T,0
25,9,0,0,0
29,15,0,0,0
34,14,0,0,0
42,25,0,0,0
34,21,0,0,0
38,28,0.12,0.5,0
36,32,0.08,T,0
32,14,0.52,4.1,1
14,0,T,T,3
5,-7,0,0,3
1,-11,0,0,3
12,-1,0.07,1.6,3
12,-3,T,0.1,4
13,2,0.06,1.8,5
5,-8,0,0,4
19,1,T,T,4
17,11,0.02,0.1,4
16,0,0.06,0.7,5
4,-1,0,0,5
22,1,0.1,1.1,5
33,9,T,T,6
37,8,0,0,6
28,16,0.03,0.4,5
20,15,0.02,0.3,6
23,16,0,0,6
19,5,0.03,0.8,6
5,-6,T,0.3,7
11,-13,0.23,2.8,6
28,9,0.02,0.2,9
26,11,0.01,0.2,9
40,14,0,0,8
47,20,T,0,7
20,-11,T,T,5
2,-11,0.09,0.9,5
-1,-9,T,T,6
1,-8,0,0,6
4,-10,0,0,6
29,-10,0.12,0.3,6
35,-2,0.02,T,6
-2,-20,T,T,6
-12,-23,T,T,6
5,-15,0,0,6
4,-11,0,0,6
20,-11,0,0,6
31,16,T,T,6
32,23,0,0,6
40,22,0,0,6
34,27,0.01,0.3,6
28,7,0.26,4.1,9
25,-1,0.03,0.5,10
35,7,0.05,0.6,11
13,1,T,T,10
23,9,0.17,4.5,14
39,17,0,0,13
31,-3,0.01,0.2,10
6,-13,0.02,0.5,10
8,-8,0.01,0.6,11
2,-17,0,0,11
33,2,0.08,1.3,10
24,2,0.11,2.3,11
18,-8,0.09,1.1,13
-6,-16,0,0,12
0,-16,0,0,12
34,-6,0,0,12
28,-4,0.44,6.4,12
9,-9,0,0,16
22,-1,T,T,16
14,-7,0,0,15
16,-1,0,0,14
11,-1,0,0,14
4,-5,T,T,14
4,-11,0,0,14
12,-5,0,0,13
15,-4,T,T,13
9,-7,0,0,13
8,-11,0,0,13
13,-12,T,T,13
24,12,0.03,0.5,13
30,5,T,0.2,13
16,1,0,0,13
19,0,0.12,1.8,13
22,4,0,0,14
29,18,0.32,4.9,15
44,16,0,0,18
40,21,0,0,17
36,15,0.83,8.4,16
16,6,0.06,1.5,24
14,4,0,0,23
17,1,0,0,21
14,-3,0.01,0.2,20
6,-7,T,T,20
20,-11,T,T,20
1,-14,0,0,20
14,-9,0.04,0.9,20
8,-7,T,T,21
3,-15,0,0,20
10,-10,0.02,0.3,19
19,7,T,T,19
24,12,0,0,19
26,12,0,0,16
33,23,T,0,16
29,15,0,0,16
44,17,0,0,15
53,32,0,0,15
44,29,T,0,13
30,19,0,0,11
50,20,0,0,10
44,26,0,0,6
31,20,0,0,5
25,11,0,0,5
35,23,0.06,0.2,4
37,28,0.15,2.3,4
36,26,0.06,0.6,7
44,22,0,0,6
45,20,T,T,4
22,8,0,0,2
26,8,T,T,2
31,17,0.08,1.2,2
24,10,T,T,2
40,13,0,0,2
40,31,0.44,0.1,T
38,27,0,0,T
43,22,0,0,T
60,36,0,0,0
58,29,0.01,0,0
37,20,0.02,0.2,0
43,21,0,0,0
40,27,0.68,5,0
40,25,0.11,1.5,6
50,24,0,0,4
62,40,0,0,T
60,38,0,0,0
54,34,0,0,0
71,35,0,0,0
62,45,T,0,0
63,43,T,0,0
55,44,0.14,0,0
44,32,0,0,0
38,24,0,0,0
36,18,0,0,0
37,28,0.68,0.3,0
42,28,T,T,T
52,26,0,0,0
67,42,0.11,0,0
74,45,0.1,0,0
68,44,0.2,0,0
59,38,0,0,0
47,40,0.26,0,0
45,38,0.84,0,0
64,36,0,0,0
55,37,0.04,0,0
45,38,1.76,0,0
45,41,0.7,0,0
42,34,0.6,T,0
46,35,0.03,0,0
49,37,0.04,0,0
59,42,T,0,0
59,43,0,0,0
57,36,0,0,0
64,50,0,0,0
65,47,0,0,0
65,51,0.04,0,0
69,51,0.59,0,0
60,46,0,0,0
70,41,0.06,0,0
68,48,0.63,0,0
63,49,0.27,0,0
53,43,0,0,0
59,38,0,0,0
49,40,0,0,0
54,40,0,0,0
66,41,0,0,0
72,49,0,0,0
60,51,2.25,0,0
78,50,0,0,0
66,51,0,0,0
71,47,0,0,0
75,50,0,0,0
80,58,0,0,0
79,56,0,0,0
82,66,0.01,0,0
73,61,0.01,0,0
81,58,0,0,0
84,57,0,0,0
87,64,0,0,0
86,68,0.65,0,0
72,65,2.37,0,0
80,60,0.02,0,0
75,56,0,0,0
81,61,0,0,0
78,63,0.03,0,0
84,59,T,0,0
67,51,0.89,0,0
71,49,0,0,0
70,59,T,0,0
77,55,0,0,0
81,61,0.18,0,0
66,54,0,0,0
76,51,0,0,0
66,58,1.6,0,0
76,57,0.64,0,0
85,63,0.38,0,0
82,62,0.01,0,0
81,69,0.51,0,0
74,65,4.13,0,0
85,67,T,0,0
85,67,0,0,0
77,66,0.09,0,0
83,66,0,0,0
84,64,0,0,0
72,56,0,0,0
81,58,0,0,0
81,70,T,0,0
83,69,0.5,0,0
85,64,0.01,0,0
81,65,T,0,0
75,55,0.15,0,0
74,54,0.01,0,0
78,58,0,0,0
78,60,0,0,0
84,65,0,0,0
90,69,0.13,0,0
87,65,0.37,0,0
77,62,0,0,0
79,58,0,0,0
85,61,0,0,0
81,65,1.03,0,0
80,68,0.06,0,0
78,63,0,0,0
65,56,0.07,0,0
72,54,T,0,0
77,55,0,0,0
79,59,0,0,0
79,60,0,0,0
79,67,0,0,0
87,70,0,0,0
92,74,0,0,0
86,70,0,0,0
84,61,0,0,0
82,63,0,0,0
81,64,0.42,0,0
86,71,0,0,0
78,65,0.03,0,0
77,63,0,0,0
81,59,0,0,0
83,60,0,0,0
84,63,0,0,0
87,65,0,0,0
87,67,T,0,0
88,68,0.67,0,0
81,68,0,0,0
81,62,0,0,0
82,62,0,0,0
83,65,0,0,0
83,67,0,0,0
79,67,T,0,0
84,68,0.15,0,0
78,62,0.04,0,0
80,57,0,0,0
83,63,0,0,0
80,59,0,0,0
85,64,0,0,0
86,67,0.08,0,0
81,68,0.27,0,0
87,67,0.01,0,0
81,65,0,0,0
83,65,0,0,0
85,70,0.07,0,0
79,70,0,0,0
77,69,T,0,0
89,73,0.14,0,0
79,64,0,0,0
76,56,T,0,0
78,59,T,0,0
72,61,0.02,0,0
80,66,0.68,0,0
77,64,0.3,0,0
85,62,0.47,0,0
78,65,0.17,0,0
78,62,0,0,0
80,60,0.13,0,0
86,66,T,0,0
66,55,0,0,0
77,52,0,0,0
76,56,0,0,0
75,58,T,0,0
75,61,0.18,0,0
68,47,0.03,0,0
57,43,0,0,0
56,43,0,0,0
60,39,0,0,0
65,50,0,0,0
62,48,0.06,0,0
68,43,0,0,0
77,55,0,0,0
75,48,0,0,0
81,57,T,0,0
77,57,0.24,0,0
67,50,0,0,0
72,48,0,0,0
74,51,0,0,0
65,58,0.04,0,0
77,59,0,0,0
82,58,0,0,0
83,63,0,0,0
82,59,0,0,0
67,44,0.07,0,0
59,42,0,0,0
59,50,0.69,0,0
60,47,0.78,0,0
50,36,0.09,0,0
51,37,0.03,0,0
49,35,0,0,0
63,36,T,0,0
60,45,0,0,0
59,39,0,0,0
54,34,0,0,0
53,34,0,0,0
57,31,0,0,0
61,42,0,0,0
57,50,0.02,0,0
65,47,0,0,0
66,38,0,0,0
72,41,0,0,0
58,49,0,0,0
54,39,0,0,0
69,40,0,0,0
64,42,0,0,0
58,38,0,0,0
60,39,T,0,0
68,48,0.14,0,0
67,46,0,0,0
63,44,0,0,0
64,36,0,0,0
67,43,0,0,0
49,40,T,0,0
43,36,0,0,0
49,31,0,0,0
40,26,0,0,0
42,23,0,0,0
56,33,0,0,0
55,41,T,0,0
53,37,0,0,0
45,34,0.04,0,0
44,30,T,0,0
48,29,0.01,0,0
43,34,T,0,0
39,31,0,0,0
31,24,0.28,2.6,1
26,18,0.04,0.8,3
23,15,T,T,3
24,17,T,T,3
22,8,0,0,3
22,6,0.16,1.3,3
22,7,0.01,0.3,4
15,6,0,0,4
18,8,T,T,4
23,16,0.02,0.5,4
18,7,0,0,4
34,3,0,0,4
39,34,0,0,3
51,32,0.03,T,T
32,15,0.01,0.5,T
24,10,0,0,T
26,10,0.17,2.2,T
10,-4,0.02,0.3,2
24,6,0.08,0.9,3
38,21,0,0,3
24,4,0,0,2
6,-3,0,0,2
22,2,T,T,2
23,11,0,0,2
32,14,0,0,2
32,25,0,0,2
32,17,0,0,1
35,22,0.01,0.1,1
35,21,T,T,1
23,15,T,T,1
29,21,0,0,1
32,27,0,0,1
37,32,0,0,1
51,33,0.01,0,T
50,43,0.01,0,0
51,30,0.19,T,0
30,17,0.04,0.8,1
20,9,T,T,1
22,11,0.02,0.4,1
30,20,T,T,1
32,29,0,0,1
39,31,0.19,0.1,1
38,35,0.12,0,0
36,34,T,T,0
36,31,0,0,0
35,30,T,T,0
32,28,0.05,0.8,0
28,11,0.22,3.4,4
24,7,0,0,4
10,-3,0,0,4
4,-7,0,0,3
13,-7,0,0,3
30,11,T,T,3
28,6,0,0,3
33,12,T,0.1,3
12,-7,0,0,3
1,-11,0.06,0.5,3
8,-5,0,0,3
-1,-9,0,0,3
16,-6,0.15,3,3
6,-4,0,0,5
19,-4,0,0,4
14,3,T,0.1,4
5,-5,0,0,4
15,-10,0.02,0.4,4
24,15,0.01,0.2,4
35,19,0,0,4
30,27,0,0,4
38,26,0,0,3
39,25,0,0,3
37,22,0.01,0.1,2
32,28,0.05,0.8,2
30,26,0.01,0.1,2
30,18,0,0,2
39,29,0,0,2
42,29,T,0,2
35,20,0.03,0.1,1
45,22,T,T,1
36,30,0,0,T
31,28,T,0,T
34,15,T,0,T
27,11,0,0,T
28,19,0,0,T
21,5,0.02,0.5,T
16,0,0,0,T
16,6,0.06,1.5,T
15,-1,0.01,0.4,2
19,-7,0,0,2
30,13,0,0,1
36,20,0,0,1
32,23,0,0,T
33,20,0,0,T
29,22,0.13,0.8,T
30,2,0.01,0.1,1
10,-3,0,0,1
30,6,T,T,1
12,-3,0,0,1
9,0,T,T,1
20,8,0.01,0.4,1
10,-2,T,T,1
2,-9,0,0,1
9,-11,0,0,1
25,5,0.07,0.8,1
24,0,0.01,0.1,1
0,-9,0,0,1
23,-11,0,0,1
32,13,0.01,0.1,1
16,5,0.02,0.2,1
11,-3,0,0,1
15,-6,0,0,T
20,-3,0,0,T
28,14,T,T,T
26,9,0,0,T
29,6,0.13,1.9,T
12,-2,0,0,2
15,-7,0,0,2
39,7,0,0,2
44,28,0,0,T
48,31,0,0,0
57,32,0,0,0
66,37,0,0,0
58,29,0,0,0
62,37,0,0,0
