Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
36,32,0.25,0.1,0
34,29,0,0,0
44,29,0.03,0,0
40,31,T,T,0
35,27,0,0,0
37,26,0.05,T,0
40,34,0,0,0
35,27,0.05,0.5,0
43,34,0.02,T,0
43,25,0.07,0,0
33,22,0,0,0
36,28,0,0,0
42,26,T,T,0
30,12,T,T,0
26,11,0.03,0.1,0
44,24,0,0,T
36,24,0,0,0
46,25,T,0,0
45,39,0.08,0,0
46,27,T,0,0
34,27,0,0,0
39,34,0.09,0,0
37,21,0,0,0
41,18,0,0,0
48,28,0,0,0
42,18,T,T,0
33,15,0,0,0
49,23,0,0,0
60,40,T,0,0
41,29,0,0,0
51,24,0,0,0
60,32,0,0,0
53,33,0,0,0
46,25,0,0,0
48,31,0,0,0
51,28,0,0,0
47,30,0,0,0
50,29,0,0,0
57,27,0.37,2.1,0
27,16,0.01,0.1,2
20,16,0.01,0.2,2
21,7,0,0,2
32,19,T,T,2
29,19,T,T,2
29,20,0,0,2
35,15,0.18,0.9,2
27,6,T,T,2
30,17,0.01,0.3,2
24,15,T,T,2
30,22,0.05,0.7,2
31,23,0,0,2
28,18,0,0,2
42,24,0,0,2
38,24,0,0,2
24,18,0.01,0.1,2
24,19,0,0,2
27,18,0,0,1
23,11,0,0,1
22,4,0.01,0.1,1
4,-6,T,T,1
1,-9,0,0,1
5,-8,0,0,1
11,3,0.09,1.3,1
4,-6,0.05,0.6,2
-6,-14,0,0,3
-5,-16,0,0,3
1,-14,0,0,3
15,-10,T,0.1,3
11,-3,0,0,3
2,-5,0,0,3
3,-10,0,0,2
14,-11,T,T,2
32,12,0,0,2
37,24,0,0,2
42,26,0,0,2
38,33,T,0,1
37,0,0.21,2.4,T
3,-10,0,0,2
5,-13,0,0,2
17,-10,0.17,3.3,2
14,1,T,T,5
8,-2,T,T,4
27,-1,0,0,4
41,21,0,0,4
44,27,0,0,3
42,24,0,0,1
39,32,0,0,1
35,26,1.03,12.4,1
28,18,T,T,11
27,10,0,0,9
28,24,0.01,0.1,9
47,26,0,0,8
34,20,0,0,4
20,12,T,T,3
17,4,0,0,3
30,1,0,0,3
32,7,0.13,2.1,5
7,-4,0,0,5
12,-7,0,0,4
19,9,0.15,2.5,4
9,-6,T,T,6
14,-4,T,T,6
10,-6,T,T,5
15,0,0.02,0.6,5
17,4,0.01,0.1,5
11,1,T,T,5
14,-1,0,0,5
21,-2,0,0,5
13,-2,0,0,5
30,7,0,0,5
43,17,0,0,5
38,14,T,T,4
20,0,0,0,3
38,20,0.01,T,3
45,19,0,0,3
27,19,0.13,0.8,2
21,8,0.05,0.3,2
20,2,0,0,2
30,7,0.3,3.3,2
32,16,0.15,2.3,8
30,5,0.51,6,7
30,15,T,T,10
44,14,0,0,9
47,22,0,0,8
45,22,0,0,7
41,23,0,0,6
40,17,0,0,5
45,33,0,0,5
42,33,0.07,0,3
38,28,0.34,3.6,1
34,22,0.07,1.1,5
29,12,0,0,5
31,12,0,0,5
35,18,0,0,5
35,23,T,T,4
36,30,0.01,0.1,4
40,21,0,0,3
37,23,0,0,2
46,23,0,0,2
39,28,0,0,2
41,23,0,0,2
50,25,0,0,2
43,25,0,0,2
45,32,0,0,1
33,23,0.08,0.4,T
38,21,0,0,T
43,29,0,0,T
43,27,0,0,T
42,29,0,0,T
43,29,0,0,T
40,32,0.38,0.8,1
48,33,0,0,T
52,29,T,0,T
42,22,0,0,0
43,24,0.14,1.8,0
35,13,0.1,1,2
31,12,0,0,1
34,21,0.14,1.5,T
30,18,0.57,7.5,4
30,8,0,0,6
40,13,0,0,5
26,14,T,T,3
32,12,0,0,3
32,16,0.11,1.2,2
38,22,T,0.1,3
41,31,T,T,2
48,28,0.03,0,1
52,32,0,0,T
41,30,0.31,1.1,0
30,22,0.79,11.1,1
28,22,0.22,3.5,10
36,22,T,0.1,11
43,23,0,0,9
40,30,T,T,7
53,25,0,0,5
53,28,0,0,3
60,36,0,0,1
64,34,0,0,T
71,42,0,0,T
66,43,0,0,0
61,35,0,0,0
66,45,0,0,0
65,39,T,0,0
58,37,0,0,0
69,38,0,0,0
84,54,0.04,0,0
72,57,0.43,0,0
68,49,0.04,0,0
75,55,T,0,0
78,53,0,0,0
83,56,0.08,0,0
77,53,0,0,0
86,60,0,0,0
72,59,0.37,0,0
65,55,0.11,0,0
60,45,0,0,0
53,47,0,0,0
61,46,0.01,0,0
73,44,0,0,0
75,58,0.18,0,0
78,52,0,0,0
87,55,0,0,0
85,59,0,0,0
84,58,0.01,0,0
72,51,0.02,0,0
73,46,0,0,0
71,59,0,0,0
76,57,0,0,0
84,62,0,0,0
92,68,0.61,0,0
90,66,0.16,0,0
94,67,0,0,0
91,67,0,0,0
100,73,0.01,0,0
94,68,0.89,0,0
74,66,0.07,0,0
86,64,0,0,0
81,64,0,0,0
71,59,0.17,0,0
70,58,0,0,0
87,56,0,0,0
80,61,0,0,0
80,62,0.21,0,0
79,59,T,0,0
74,65,0.01,0,0
72,63,0.22,0,0
77,64,0,0,0
74,62,0.04,0,0
81,63,0,0,0
81,58,0.01,0,0
82,64,T,0,0
95,68,T,0,0
88,70,0.76,0,0
91,72,0.18,0,0
78,68,0.4,0,0
70,62,0.59,0,0
80,65,0,0,0
78,66,0,0,0
82,63,0,0,0
82,64,0,0,0
81,67,0.09,0,0
83,67,T,0,0
73,64,1.1,0,0
82,65,0,0,0
86,67,0,0,0
99,74,0,0,0
89,75,T,0,0
75,63,1.16,0,0
88,66,0,0,0
87,70,0.02,0,0
83,71,0.67,0,0
83,68,0,0,0
82,63,0,0,0
85,68,0,0,0
90,71,0,0,0
90,72,T,0,0
85,68,T,0,0
92,69,0,0,0
95,73,2.13,0,0
83,72,0.08,0,0
87,69,0,0,0
89,71,0,0,0
86,64,0,0,0
81,65,T,0,0
82,64,0,0,0
73,65,0.08,0,0
82,65,0.09,0,0
84,63,0,0,0
83,64,0,0,0
85,65,0,0,0
85,64,0,0,0
83,66,T,0,0
73,61,0.08,0,0
80,58,0,0,0
82,58,0.13,0,0
82,59,T,0,0
87,61,0,0,0
87,64,0,0,0
80,59,0.23,0,0
72,57,0,0,0
85,61,1.02,0,0
78,71,0.04,0,0
85,72,0,0,0
84,67,0,0,0
80,68,T,0,0
90,64,0,0,0
90,71,0,0,0
90,67,0,0,0
88,69,0,0,0
89,69,0,0,0
92,71,0,0,0
91,73,0,0,0
89,67,0,0,0
89,69,0,0,0
86,68,0,0,0
86,66,0,0,0
86,66,0,0,0
79,66,0.09,0,0
77,62,0,0,0
84,57,0,0,0
81,60,0,0,0
72,65,1.05,0,0
78,65,0,0,0
85,67,T,0,0
84,66,0.15,0,0
66,56,0.18,0,0
72,52,0,0,0
77,55,T,0,0
85,68,0.07,0,0
88,72,0,0,0
82,68,0.25,0,0
76,68,0.02,0,0
76,67,1.18,0,0
73,57,0.02,0,0
74,52,0,0,0
77,55,0,0,0
74,57,0,0,0
73,54,0,0,0
79,54,0,0,0
83,62,0,0,0
84,69,0,0,0
85,63,0,0,0
88,69,0,0,0
92,70,0,0,0
90,72,0,0,0
81,60,0.9,0,0
66,60,0.66,0,0
64,59,0.18,0,0
68,59,3.28,0,0
64,48,0.01,0,0
67,45,0,0,0
76,51,0,0,0
76,57,0.27,0,0
59,48,0.1,0,0
62,44,0,0,0
62,48,T,0,0
56,39,0,0,0
49,36,0,0,0
55,46,0,0,0
50,44,0.34,0,0
54,49,T,0,0
79,40,0.61,0,0
49,35,0.22,0,0
51,42,0.11,0,0
49,42,0,0,0
52,45,0.05,0,0
54,47,0.34,0,0
50,45,1.04,0,0
51,37,0.14,0,0
39,32,0.01,T,0
46,31,0,0,0
54,35,0,0,0
42,32,0.09,0.3,0
45,30,0,0,0
56,39,0,0,0
50,34,0,0,0
72,33,0,0,0
65,49,0.02,0,0
49,31,T,T,0
59,28,0,0,0
61,33,0,0,0
49,32,0,0,0
54,31,0,0,0
55,43,T,0,0
50,45,0.29,0,0
53,44,0.13,0,0
57,44,T,0,0
49,37,0.01,0,0
54,40,0,0,0
54,37,0,0,0
51,34,0,0,0
48,33,0,0,0
47,35,0.02,0,0
39,36,0.17,T,0
45,37,0.3,0,0
43,29,0.3,0.1,0
33,25,0.02,0.5,1
28,22,0.06,0.7,T
24,15,0.01,0.3,1
23,11,T,T,1
30,21,T,T,1
23,12,T,T,1
23,7,0,0,T
43,16,0,0,T
44,29,0.01,0,0
35,26,0.01,0.1,T
29,14,T,T,T
27,6,0,0,T
30,20,T,T,T
33,12,T,T,T
32,24,T,T,0
37,27,0,0,0
46,35,0.27,0,0
40,30,0.06,0,0
30,17,0,0,0
24,15,T,T,0
25,13,T,T,0
27,15,0.12,1.4,0
31,25,0.1,0.9,2
33,29,0,0,2
34,28,0.2,2.3,2
34,28,0.04,0.5,4
28,24,T,T,4
24,22,T,T,4
29,22,T,0.1,4
22,8,T,T,4
27,6,T,0.1,4
27,9,0,0,4
29,14,0,0,4
25,14,0.01,T,4
27,12,0,0,4
29,23,T,0,4
32,23,0,0,4
39,23,0,0,4
43,20,0,0,4
46,31,0,0,3
36,24,0,0,3
43,27,0,0,2
42,32,0,0,1
37,28,0.01,T,T
28,23,0,0,T
32,25,0.01,0.3,T
31,19,T,T,T
26,15,0,0,T
28,19,0,0,T
33,21,0.3,2.3,T
37,33,0.95,0.6,2
33,13,T,0.2,T
16,9,T,0.1,T
32,14,0,0,T
32,11,0.01,0.2,T
11,0,0,0,T
26,2,T,T,T
41,20,0,0,T
47,28,0,0,T
47,27,0,0,T
38,24,0,0,T
42,34,0,0,T
38,11,0,0,T
16,6,0,0,T
24,10,0,0,0
33,18,0,0,0
31,21,0,0,0
35,28,0,0,0
32,29,T,T,0
33,20,T,0,0
21,7,0,0,0
24,14,T,T,T
14,6,0.01,0.2,0
11,-1,0,0,T
11,-5,0,0,T
18,0,T,T,T
20,10,0.03,0.7,1
24,9,T,T,1
20,-8,T,0.4,1
5,-9,0,0,1
11,-4,0.05,0.4,1
6,-9,0.23,2.4,1
13,-1,0.13,2.6,4
-1,-25,T,T,5
-13,-28,0,0,5
-3,-23,T,0.1,5
17,-3,T,T,4
39,12,0,0,4
39,32,0.01,0,2
33,2,0.06,T,1
13,2,0.31,4.1,T
21,12,0.03,0.4,4
20,-5,0.37,5.9,4
1,-11,0,0,9
8,-12,0,0,8
18,6,0.25,5.9,8
25,17,0.03,0.1,11
24,11,0.32,5.5,14
20,4,T,T,14
24,0,0.02,0.3,13
15,-3,0,0,12
21,-2,0,0,12
26,14,0.03,0.4,12
23,5,0,0,11
22,-3,0,0,11
28,15,0.6,9.1,11
21,7,T,T,16
27,10,0,0,16
32,26,0.21,1.9,15
29,-2,0.2,2.6,17
4,-5,T,T,16
8,0,0.06,1.1,16
14,0,0.07,1.7,19
21,-3,0,0,18
19,5,0.28,5.6,17
18,-1,0,0,21
0,-13,0,0,20
9,-10,T,T,20
16,1,T,T,19
22,6,T,T,19
21,2,0,0,18
33,16,0,0,18
37,27,0.57,2.9,16
32,17,0.09,1.8,19
32,11,0,0,17
38,18,0.21,0,16
42,34,0.33,0,13
43,33,0.51,0.1,7
35,25,0,0,4
35,19,0,0,3
40,23,0.01,0.1,3
40,24,0,0,2
46,28,0,0,1
49,33,0,0,T
50,31,0,0,T
50,29,0,0,T
54,26,0,0,T
54,31,0,0,T
47,28,0,0,T
51,25,0,0,0
64,39,0,0,0
53,34,0,0,0
47,27,0,0,0
38,26,0,0,0
38,21,T,T,0
45,30,0,0,0
50,30,0.02,T,0
51,30,0,0,0
46,34,T,0,0
52,35,0.06,0,0
53,46,0.94,0,0
63,45,0.17,0,0
70,41,0,0,0
57,32,0,0,0
34,30,0.48,4.6,0
36,26,0.46,4.3,6
37,31,0.09,0.9,3
39,29,0,0,3
48,24,0,0,1
54,30,0,0,T
68,36,0,0,T
54,41,1.1,0,0
54,40,T,0,0
64,34,0,0,0
78,44,0,0,0
77,49,T,0,0
49,40,0.35,0,0
65,36,0,0,0
73,50,T,0,0
72,50,0,0,0
59,43,0,0,0
51,40,T,0,0
54,36,0,0,0
58,43,0,0,0
45,39,0.24,0,0
46,39,0.09,0,0
57,41,0,0,0
62,35,0.15,0,0
71,45,0,0,0
64,49,T,0,0
59,47,T,0,0
63,40,0,0,0
55,36,1.45,T,0
54,35,0.02,T,0
61,38,0,0,0
65,42,0.01,0,0
62,43,0,0,0
67,40,0,0,0
73,48,0.04,0,0
76,54,0.12,0,0
82,57,0.35,0,0
69,51,0.05,0,0
55,45,0.8,0,0
46,38,0.63,0,0
63,36,0,0,0
61,47,0.59,0,0
63,47,0.51,0,0
60,52,0,0,0
73,52,0.04,0,0
69,54,0,0,0
74,47,0,0,0
64,48,1.83,0,0
69,45,0,0,0
74,52,0,0,0
82,55,0,0,0
88,64,T,0,0
73,55,0.02,0,0
75,51,0,0,0
83,54,0,0,0
85,60,0.26,0,0
83,64,T,0,0
85,59,0,0,0
90,68,0,0,0
88,67,0,0,0
73,57,T,0,0
79,52,0,0,0
69,58,0.16,0,0
71,54,T,0,0
73,48,0,0,0
86,64,0.05,0,0
76,63,0.05,0,0
74,59,T,0,0
75,58,T,0,0
75,55,0,0,0
79,57,0,0,0
78,62,0.29,0,0
77,63,0,0,0
79,62,T,0,0
76,64,0.36,0,0
73,61,0.28,0,0
82,61,0,0,0
86,63,0,0,0
78,67,0.22,0,0
86,68,0,0,0
89,69,0,0,0
81,67,1.03,0,0
78,68,2.02,0,0
87,69,0.08,0,0
87,67,0.25,0,0
85,71,0.15,0,0
83,68,0.03,0,0
83,69,0,0,0
85,65,0,0,0
85,68,0,0,0
80,70,0.47,0,0
79,69,0.22,0,0
83,65,0,0,0
86,68,0,0,0
87,68,0,0,0
92,72,0.01,0,0
92,71,1.75,0,0
85,71,0.01,0,0
86,70,0,0,0
89,73,T,0,0
95,73,T,0,0
76,62,1.01,0,0
82,61,0,0,0
79,60,0,0,0
83,62,0,0,0
84,65,0,0,0
82,66,0,0,0
86,68,0.12,0,0
86,68,0,0,0
77,66,0.36,0,0
78,63,0,0,0
77,59,0,0,0
80,60,0,0,0
85,64,0,0,0
85,69,0,0,0
87,70,0.24,0,0
88,71,0,0,0
86,70,0.2,0,0
86,66,0,0,0
88,68,0,0,0
79,58,0,0,0
81,58,0,0,0
73,66,0.44,0,0
81,66,0,0,0
80,67,0.24,0,0
82,62,0.75,0,0
78,63,T,0,0
80,63,0.39,0,0
80,64,0.83,0,0
83,63,T,0,0
75,61,1.74,0,0
81,58,0,0,0
83,65,0.63,0,0
77,59,0,0,0
75,60,0,0,0
77,58,0,0,0
76,62,0,0,0
75,61,0.01,0,0
71,64,0.8,0,0
73,59,T,0,0
74,57,0,0,0
76,57,0.01,0,0
75,53,0,0,0
72,58,0,0,0
75,59,0.09,0,0
76,63,0.3,0,0
77,62,0,0,0
73,58,0,0,0
79,56,0,0,0
78,63,0,0,0
67,55,0.02,0,0
62,54,0.12,0,0
70,58,0.19,0,0
79,66,0,0,0
67,58,1.24,0,0
67,58,1.17,0,0
64,56,T,0,0
75,51,0,0,0
82,62,0,0,0
87,63,0,0,0
88,70,0,0,0
82,70,0.14,0,0
84,64,0,0,0
86,67,0,0,0
81,69,0.1,0,0
69,57,0.01,0,0
76,54,0,0,0
81,57,T,0,0
71,55,0,0,0
69,49,0,0,0
67,51,0,0,0
64,45,T,0,0
60,50,0.3,0,0
86,60,0.24,0,0
65,50,0.59,0,0
54,48,0.42,0,0
50,44,0.05,0,0
50,44,0,0,0
58,48,1.05,0,0
65,47,0,0,0
67,45,0,0,0
72,47,0,0,0
73,53,0.01,0,0
60,41,0.41,0,0
41,34,0.05,T,0
39,33,0.07,T,0
45,35,0.03,T,0
50,36,0,0,0
52,42,0.08,0,0
48,41,0.01,0,0
57,35,0,0,0
69,45,0,0,0
67,45,0.03,0,0
67,39,0,0,0
56,46,1.06,0,0
46,40,0.19,0,0
46,34,0,0,0
44,32,0,0,0
56,29,0,0,0
56,39,0,0,0
45,33,0,0,0
38,29,0,0,0
40,27,0,0,0
36,23,0,0,0
36,26,0,0,0
42,32,0.07,0.1,T
35,30,T,0.1,T
45,29,0,0,0
40,29,0.13,0.2,0
32,22,0,0,0
31,19,0.02,0.4,T
28,15,T,T,0
37,15,0,0,0
45,29,0.04,0,0
33,18,0.01,0.2,0
18,8,T,T,T
20,5,0,0,T
28,18,0.05,0.6,T
32,19,0,0,T
39,30,0,0,T
46,32,T,0,T
39,32,0.05,0,0
37,31,0.02,0,0
43,34,0.14,T,0
45,38,0,0,0
44,22,0.43,0.1,0
30,19,0,0,0
45,27,0,0,0
45,33,0,0,0
45,37,0,0,0
38,31,0.19,2,0
32,26,0.66,7.2,6
28,22,0,0,7
33,28,0.08,0.5,6
34,31,0.39,2.9,7
32,19,0.07,1.6,7
27,12,0,0,6
38,20,0,0,6
39,24,0,0,6
37,22,0,0,5
32,17,0,0,5
42,22,0,0,5
41,31,0,0,5
34,-1,0.16,2.5,5
8,-4,T,T,7
9,-5,0,0,7
19,9,0.12,1.7,7
18,9,0.04,0.5,8
20,1,T,T,8
17,-1,0,0,8
27,17,0,0,7
26,2,0,0,7
15,-2,0,0,7
29,11,0,0,7
39,21,T,T,7
44,19,0,0,7
42,25,0,0,6
39,22,0,0,6
37,32,0,0,6
33,30,0,0,6
33,27,0,0,6
29,23,0,0,4
35,25,0.62,0.1,4
42,34,0.4,0,3
34,21,0.42,4.9,2
24,13,0,0,5
36,13,0,0,5
37,31,0,0,5
36,24,T,T,4
30,24,0,0,4
38,24,0.01,T,4
36,22,0,0,3
32,5,0,0,3
17,1,0,0,3
36,17,0,0,3
24,8,T,T,3
16,-1,0,0,3
20,9,0.11,0.8,3
28,15,0.1,1,4
32,17,0.01,0,5
24,-2,0.01,T,5
6,-9,0,0,5
25,-1,0.35,4.7,5
26,0,0.06,0.2,9
12,0,0.01,0.5,8
18,2,0.03,0.4,8
20,-2,0,0,8
37,19,0.17,0.6,8
33,30,0.06,1,8
32,29,T,T,8
33,27,T,T,7
30,25,0,0,7
27,21,T,0,7
22,18,T,T,7
22,18,T,T,7
27,18,T,T,7
34,27,0.05,0.6,7
38,27,0,0,7
46,31,0,0,6
32,20,0,0,5
24,10,0,0,5
30,11,0,0,5
32,11,0,T,5
30,13,0.03,0.5,5
20,-3,0,0,5
27,9,0.38,4.8,6
30,7,0.01,0.2,10
30,21,T,T,10
35,0,T,T,10
1,-11,0,0,9
15,-12,0,0,9
36,15,0,0,8
24,14,0,0,8
35,22,0.16,2,8
26,5,0,0,9
14,0,0,0,9
14,-6,0,0,9
37,12,0,0,8
42,18,0,0,8
44,27,0,0,7
42,23,0,0,5
38,28,0,0,4
31,19,T,T,4
25,15,0,0,4
28,17,0,0,4
39,16,0,0,4
50,32,T,T,4
36,30,0,0,3
43,30,T,T,1
42,24,T,0,T
44,30,T,T,T
39,23,0,0,T
53,32,0,0,T
61,44,0,0,T
48,30,0,0,0
42,23,0.04,0.3,0
43,34,0,0,T
43,31,0.09,T,0
39,26,0,0,0
35,23,0,0,0
40,21,0,0,0
39,27,0.01,T,0
44,28,T,0,0
45,37,T,0,0
40,32,0.48,0,0
34,20,T,T,0
36,20,T,T,0
43,30,0.04,0.2,T
44,32,0.12,0.8,1
50,37,0,0,0
47,37,0.31,0,0
51,29,0,0,0
60,37,0.03,0,0
48,38,1.07,0,0
49,33,0.22,T,T
60,30,0,0,0
54,34,0,0,0
55,34,0,0,0
61,40,0.07,0,0
40,25,0.08,T,0
45,19,0,0,0
56,29,0,0,0
60,43,0,0,0
70,49,0.03,0,0
56,36,T,0,0
42,30,0.03,T,0
49,27,0,0,0
61,34,0,0,0
44,29,0.6,6.6,T
37,23,0.01,0.2,5
30,21,0.04,0.5,2
35,19,0,0,T
48,24,0,0,T
49,29,0,0,0
67,39,0,0,0
50,36,0,0,0
60,36,T,0,0
50,29,T,0,0
67,43,T,0,0
59,37,T,0,0
66,43,T,0,0
71,42,0,0,0
68,45,0.07,0,0
74,52,0.04,0,0
62,46,0.83,0,0
62,42,0,0,M
68,44,0,0,0
78,53,T,0,0
75,54,0,0,0
67,46,0,0,0
60,40,0,0,0
59,47,0,0,0
66,48,0,0,0
60,44,0,0,0
49,35,0,0,0
60,34,0.15,0,0
48,38,T,0,0
55,39,0,0,0
58,34,0,0,0
63,48,0.04,0,0
73,52,0.04,0,0
71,45,0,0,0
63,52,0.46,0,0
53,49,2.47,0,0
66,50,T,0,0
71,54,0,0,0
77,59,0,0,0
66,57,0,0,0
66,58,0,0,0
71,60,0.24,0,0
78,58,T,0,0
78,65,0.16,0,0
81,66,0.87,0,0
78,63,0.42,0,0
79,60,0,0,0
66,54,0,0,0
68,49,0,0,0
77,47,0,0,0
91,63,0,0,0
90,65,0.26,0,0
83,63,0,0,0
86,62,0.04,0,0
81,60,0.32,0,0
